FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CD,BT159,0.077476,0.000454826,0.0478667,-0.00648739,0.0460568,-0.0566441,-0.0113145,0.0161434,0.147976,0.0419267
CD,BT160,0.127967,-0.00729372,0.296863,-0.109977,-0.24926,0.107586,-0.104624,0.0286233,0.0790059,0.0588557
CD,BT161,0.17026,-0.0652339,-0.25559,0.0897248,-0.245294,-0.066123,-0.0770998,0.0313254,0.0144458,-0.00753531
CD,BT162,0.033443,0.022991,0.00824374,0.0200243,0.0235596,-0.00954228,0.0217465,-0.0391262,0.0666335,-0.00576666
CD,BT163,0.123735,-0.0285374,0.0676876,-0.0343271,0.0408009,0.132028,0.0883533,-0.014201,-0.210445,-0.0131235
CD,BT164,0.0871546,-0.0056337,0.0542199,-0.03409,0.0706927,0.102933,0.0659796,-0.0205482,-0.16505,0.0074992
CD,BT167,0.130264,-0.00280975,0.295909,-0.109738,-0.240342,0.122185,-0.0888413,0.0278079,0.0760903,0.060334
CD,BT168,0.0457668,0.00179376,0.00915839,-0.00041128,0.030622,-0.0273561,-0.0183505,-0.00302178,0.00759879,0.0204677
CD,BT170,0.0907719,-0.0198932,0.0831062,-0.0351648,0.0254638,0.0581188,0.00498747,0.00651946,-0.154993,-0.100424
CD,BT171,0.101819,-0.0249118,0.033774,-0.00542356,0.0588831,0.00891519,-0.116121,-0.00305994,-0.0830743,0.00743194
CD,BT173,0.0843301,0.0240997,0.196764,-0.047912,-0.146311,-0.0871661,-0.0717578,0.00713968,0.287085,0.0593056
CD,BT174,0.136213,-0.0566745,-0.160613,0.0568144,-0.183411,-0.0612535,-0.0828479,0.00510565,0.00882828,-0.00342825
CD,BT175,-0.00525099,0.0292558,0.0392202,0.0287062,0.0114464,-0.0348925,-0.00756235,0.00402356,-0.0549191,0.0171237
CD,BT176,0.0942258,-0.0233274,-0.0433603,0.000430252,0.0896746,-0.0522416,-0.108891,-0.0129965,-0.0249467,0.0329194
CD,BT179,0.122688,0.00193087,0.293773,-0.112035,-0.233149,0.111705,-0.0690949,0.0311495,0.076461,0.0478606
CD,BT180,0.0560661,0.0233083,0.152439,-0.0348017,-0.106402,-0.0634249,-0.056933,-0.00851587,0.259498,0.0528602
CD,BT181,0.095678,-0.0278867,0.030553,-0.00724532,0.0349099,0.068016,0.0361664,-0.00674863,-0.200858,-0.147139
CD,BT182,0.0870225,-0.0228249,0.0339509,0.00568353,0.0660734,0.016014,0.060821,-0.00931442,0.166194,-0.0359947
CD,BT184,0.0824174,-0.010721,0.144756,-0.0430329,-0.11096,0.0224649,-0.0361207,0.0144155,0.111396,0.0516731
CD,BT185,0.059072,-0.00687192,-0.030395,0.0148698,0.0228261,-0.0412325,-0.0690567,-0.0117639,-0.00977775,0.00959849
CD,BT186,0.0754495,-0.0173679,0.0211449,0.00871522,0.0882017,0.0337986,0.0518325,0.00656183,0.103423,-0.0727239
CD,BT188,0.111603,-0.0310557,-0.0152394,-0.0111173,0.0952217,-0.0222981,-0.143603,-0.0202127,-0.0792844,0.00193714
