FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CD,BT159,-0.0544429,0.0425537,-0.0164353,0.0452498,-0.0302958,-0.0261291,0.0279002,0.160343,0.0724259,-0.116933
CD,BT160,-0.103477,0.262001,-0.168801,-0.273548,0.0964321,-0.0899197,0.0280385,0.057336,0.0523285,0.101719
CD,BT161,-0.170269,-0.235156,0.12305,-0.230526,-0.104457,-0.0817634,0.0333805,0.012962,0.00339419,0.00868507
CD,BT162,-0.00331412,0.0108076,0.0162851,0.0227644,-0.0009486,0.0169354,-0.0328674,0.0738256,-0.00512787,-0.0778647
CD,BT163,-0.108188,0.0533467,-0.0459524,0.0184443,0.128108,0.104148,-0.0232056,-0.20286,-0.0104837,-0.0656085
CD,BT164,-0.0649682,0.0405001,-0.0440158,0.0489843,0.108258,0.0746118,-0.025657,-0.153647,0.0125079,-0.0740389
CD,BT167,-0.102567,0.258471,-0.168995,-0.266078,0.109802,-0.0717657,0.0250344,0.0561431,0.0530088,0.0886181
CD,BT168,-0.0270711,0.00878337,-0.0035882,0.0313228,-0.0135688,-0.0251356,0.00120893,0.0107579,0.0205711,-0.0515558
CD,BT170,-0.0762083,0.0718874,-0.0484657,0.0158743,0.0632146,0.0136278,0.00225101,-0.150461,-0.116478,-0.0622834
CD,BT171,-0.0906085,0.027353,-0.0140785,0.0512995,0.0376555,-0.115409,-0.00932101,-0.089435,0.00670593,-0.0142113
CD,BT173,-0.0425469,0.180575,-0.0882767,-0.140095,-0.0668193,-0.0885667,0.0207371,0.284569,0.0965907,0.0181657
CD,BT174,-0.130127,-0.145135,0.0726676,-0.16328,-0.0853633,-0.079893,0.00988819,0.0114323,0.00193862,-0.00350179
CD,BT175,0.0358353,0.0457504,0.0219509,0.0210267,-0.031689,-0.0110171,0.00279808,-0.0581876,0.00863517,0.0393727
CD,BT176,-0.0819731,-0.0438269,0.00840961,0.091943,-0.0162328,-0.113814,-0.0117725,-0.0182154,0.0355037,-0.019934
CD,BT179,-0.0929492,0.257092,-0.169826,-0.258683,0.100471,-0.0551828,0.0301811,0.0591318,0.039702,0.0843608
CD,BT180,-0.0225139,0.144121,-0.0683377,-0.105654,-0.049199,-0.0723838,0.00315621,0.26386,0.0856991,0.0195005
CD,BT181,-0.0868495,0.026619,-0.0112727,0.0239468,0.0616747,0.045707,-0.00991581,-0.189405,-0.163915,-0.107221
CD,BT182,-0.0729614,0.0313405,-0.00179023,0.0592472,0.0249232,0.0519364,0.000179166,0.171832,-0.006991,-0.0901948
CD,BT184,-0.0675242,0.133404,-0.0737456,-0.117188,0.0174256,-0.0341574,0.0187695,0.106909,0.0605459,0.0207489
CD,BT185,-0.0412842,-0.0264767,0.0195747,0.0248975,-0.0280395,-0.0733362,-0.0114924,-0.0124738,0.00709819,-0.00127457
CD,BT186,-0.0607239,0.0195178,0.00386748,0.0800857,0.047266,0.0515241,0.00832939,0.103195,-0.0680418,-0.0140606
CD,BT188,-0.102845,-0.0198439,-0.0085637,0.0904136,0.0159536,-0.145647,-0.0233513,-0.0770924,0.0077733,-0.0439586
CD,BT189,-0.1378,-0.202939,0.114078,-0.168711,-0.0913988,-0.063206,0.0182928,-0.0193237,-0.0346724,-0.0136372
CD,BT191,-0.0953702,0.0724103,-0.039992,-0.00725615,0.0647987,0.0315732,0.000831797,-0.286447,-0.223215,-0.165574
CD,BT192,-0.052268,0.00299542,0.00147008,0.0112854,0.00968031,-0.0340175,-0.0131585,-0.0786582,0.00906125,-0.0100533
CD,BT193,-0.0782958,0.0102375,0.0113338,0.0285033,-0.00122961,-0.0837477,-0.0230917,-0.0748217,-0.0143745,-0.0644395
CD,BT194,-0.0493389,0.0124026,-0.0104043,0.0473798,-0.00301439,0.00667711,0.0136004,0.112561,0.0333062,-0.0962077
CD,BT195,-0.122407,-0.0818882,0.00790727,0.0387291,0.103716,0.362927,-0.0300958,0.0618456,0.094134,-0.0125344
CD,BT196,-0.136483,-0.206884,0.105722,-0.17376,-0.0951815,-0.0598713,0.0224598,-0.0176602,-0.0245972,-0.0137286
CD,BT199,-0.174261,-0.205268,0.0773918,-0.12126,-0.00340733,0.206596,0.00039373,0.0456234,0.0562374,-0.00715738
CD,BT200,-0.0849096,-0.00460887,-0.00928801,0.012108,0.0232432,0.0162628,-0.0124428,-0.0517281,-0.0125662,-0.059363
CD,BT201,-0.161338,-0.244231,0.136568,-0.226624,-0.118966,-0.0662512,0.0314163,0.0124995,-0.0218472,0.000179061
CD,BT202,-0.075866,0.0650916,-0.0398313,0.0618732,0.0728314,-0.023532,-0.00592596,-0.103368,-0.10854,-0.0486308
CD,BT204,-0.0173319,0.0220273,-0.00991348,0.0281208,0.000648428,-0.0231851,-0.0170225,0.0189659,0.0150895,0.0161603
CD,BT206,-0.120508,0.0314995,-0.0355131,0.00732749,0.117647,0.198388,-0.010969,-0.0750421,0.132302,-0.0439306
CD,BT209,-0.100807,-0.0757865,0.0112938,0.0523695,0.073364,0.275412,-0.0201851,0.0560947,0.0841909,-0.00444972
CD,BT212,-0.0776854,0.053505,-0.0392147,-0.0110479,0.0349095,-0.0438125,-0.0280156,-0.148594,-0.0116427,-0.0147922
CD,BT213,-0.174189,-0.255452,0.117606,-0.205773,-0.0986416,-0.0112381,0.027752,0.0188639,0.00230068,0.00519427
CD,BT214,-0.0417115,-0.0158763,0.0257881,0.0404217,0.00762594,0.00437162,-0.0124008,-0.0225597,-0.0409847,-0.0110919
CD,BT215,-0.101074,-0.0133513,-0.0100623,0.0838255,0.0225944,-0.165399,-0.0146191,-0.0870276,0.00767858,-0.0281255
YD,BT216,-0.134247,-0.0694454,0.0161194,0.244121,0.110169,0.157202,-0.00573195,0.268744,-0.0856874,0.0989243
YD,BT217,-0.0401187,0.00580637,0.00106971,0.018024,-0.00702175,0.00588281,0.00270401,0.0188663,-0.0206026,-0.000156146
YD,BT219,-0.0523607,0.0240138,-0.0184022,0.0478684,0.014581,-0.0697235,-0.00442723,0.00105104,-0.0129225,0.012091
YD,BT220,-0.0563421,0.0332973,-0.0199233,0.0767715,0.0188263,-0.0938991,0.011975,0.0358675,0.00567115,0.0112266
YD,BT227,-0.0867632,-0.030958,0.00682323,0.269112,0.0151008,-0.338953,-0.0269611,-0.0237269,0.182176,0.0432163
YD,BT228,-0.0769794,-0.036672,0.0094432,0.229483,0.00618065,-0.283403,-0.0236908,-0.0197522,0.150797,0.0446724
YD,BT229,-0.106605,0.104309,-0.0877138,-0.0535624,0.13296,0.104451,-0.0140373,-0.141556,-0.119485,-0.00478995
YD,BT233,-0.0840933,-0.0339094,0.00944143,0.273907,0.00620659,-0.340122,-0.0319881,-0.0255027,0.162472,0.0483789
YD,BT237,-0.0984509,0.0707211,-0.0658915,-0.0101234,0.116036,0.102624,-0.0141201,-0.0652821,-0.10395,0.0157633
YD,BT238,-0.0454133,0.0230639,-0.0156576,0.0722326,0.0294708,-0.00618755,0.0110277,0.00858886,-0.0775489,-0.0327501
YD,BT239,-0.102657,-0.0542307,0.0022411,0.235782,0.0949535,0.111013,-0.00877256,0.281961,-0.0966595,0.117302
YD,BT241,-0.113487,-0.0490282,0.0128992,0.22032,0.0930972,0.160299,-0.00281824,0.277287,-0.108993,0.0874626
MD,BT266,0.0519643,0.0773245,0.0307902,0.0412577,-0.146208,0.0102139,0.0461527,-0.0625376,-0.195387,-0.176279
MD,BT267,0.0528614,0.0957867,0.0215363,0.0483746,-0.224665,0.0220109,0.11495,0.00589075,-0.157612,-0.213916
MD,BT268,0.150987,0.036845,0.13994,-0.0800611,0.048817,-0.0203733,-0.477786,0.0815627,0.00851227,-0.127903
MD,BT269,0.0766377,0.0118511,-0.00458787,0.026968,-0.0723688,0.134556,0.00752878,-0.173333,0.385789,0.0526665
SC,BT270,0.154367,-0.206422,-0.315488,-0.0197038,0.0283255,-0.0173269,-0.0189229,0.0224945,-0.028807,-0.0445998
SC,BT271,0.176197,-0.241775,-0.362983,-0.0272993,0.0362987,-0.0305439,0.00119997,0.0312718,-0.0298074,-0.0516156
SC,BT272,0.173689,-0.225635,-0.346903,-0.0213074,0.0255392,-0.0218319,-0.011932,0.025679,-0.0269408,-0.0419143
SC,BT273,0.158131,-0.216379,-0.309619,-0.0214843,0.0271702,-0.032768,-0.0041729,0.0164425,-0.0339287,-0.0387159
SC,BT274,0.150513,-0.211591,-0.294892,-0.0290821,0.0271129,-0.0236502,0.00643247,0.0298062,-0.0219417,-0.0342244
AW,BT275,0.0675458,0.0208812,0.0241748,-0.00244436,-0.0192634,0.00158348,-0.0101384,-0.0113395,-0.0124233,0.0292589
AW,BT276,0.0402765,0.0719172,-0.0250249,-0.0622061,-0.0427146,-0.00374311,-0.00709636,0.070066,0.0644951,0.0821933
AW,BT277,0.0882029,-0.00466654,0.0210496,0.00750334,-0.0500075,0.0302011,-0.0746366,-0.0609747,-0.011662,0.0733414
AW,BT279,0.0714389,-0.0141473,0.000627539,-0.00548362,-0.0316204,0.0269727,-0.00126257,-0.0245613,0.0317612,0.0206749
FD,BT281,0.153284,-0.0214423,0.146305,-0.0295058,0.188805,-0.0293346,0.168745,0.0456583,-0.00735247,-0.0689863
FD,BT282,0.086668,0.00620417,0.0309427,0.00847461,-0.00466425,0.0327463,0.054744,-0.073047,-0.0182681,0.24378
FD,BT283,0.0423993,0.0712487,0.00489737,0.033259,-0.161177,0.0651537,0.107606,0.0468929,0.104377,-0.0993068
FD,BT284,0.172319,-0.0292832,0.150801,-0.0378985,0.223198,-0.0505707,0.200162,0.0315032,-0.0108972,-0.057941
FD,BT285,0.0675557,0.0240675,0.0365887,0.00104248,-0.0180209,0.0162892,0.00269395,-0.0410636,-0.0466992,0.0132263
FD,BT286,0.186778,-0.037184,0.173569,-0.0567027,0.251974,-0.0551113,0.244051,0.0244999,0.0248381,-0.0262622
FD,BT288,0.0955407,0.0220397,0.0109013,0.0245968,-0.0757598,0.0526712,-0.0192267,-0.0529983,-0.00527735,0.0810602
FD,BT289,0.118444,-0.0115719,0.0551926,-0.00741651,0.0532439,0.0130069,0.100933,-0.0618066,-0.0109618,0.198936
FD,BT290,0.117425,0.0129123,0.0563055,-0.0415133,-0.0336571,0.0102984,-0.257692,0.00381532,-0.00360144,0.022987
FD,BT291,0.122503,0.0327929,0.121289,-0.0554399,0.0297114,-0.0139234,-0.416251,0.0653455,-0.00424635,-0.0933278
FD,BT293,0.0818982,0.0388281,0.0166821,0.0465021,-0.154751,0.0582837,0.0435295,-0.000854489,-0.0251328,0.0626382
FD,BT295,0.0800778,0.090898,0.0228466,0.0362068,-0.279758,0.0500878,0.133441,0.0600697,-0.0147819,-0.139225
FD,BT296,0.0651903,0.0266331,0.0244907,0.00487176,-0.0496177,-0.000658471,-0.0446301,-0.0339515,-0.0400214,0.0571084
FD,BT297,0.0686202,0.0098101,-0.00563936,0.00200582,-0.0608112,0.0207842,-0.00633959,-0.0484673,0.0187988,0.0560249
FD,BT299,0.191812,-0.016346,0.195955,-0.0565737,0.262743,-0.0632379,0.166717,0.0519165,0.0230515,-0.0820497
FD,BT301,0.0858358,0.0322556,0.0166216,0.0447906,-0.126047,0.044266,0.0374417,-0.017636,-0.0208167,0.067799
FD,BT303,0.149278,0.029252,0.136548,-0.0791892,0.0445429,-0.0183294,-0.448409,0.0742293,-0.00584735,-0.111517
FD,BT305,0.187484,-0.0198571,0.196084,-0.060707,0.256406,-0.0643634,0.200179,0.028276,0.0127171,-0.0374179
FD,BT307,0.145364,0.00880176,0.147223,-0.0342384,0.147683,-0.0208773,0.00220583,0.031018,0.051538,-0.0914219
FD,BT309,0.103981,0.0217421,0.0247802,0.0174711,-0.120048,0.0408953,-0.0504057,-0.0577935,0.00138596,0.0853049
FD,BT315,0.00895274,-0.00509035,-0.00526596,0.0101292,-0.0266757,0.203078,0.0208054,-0.145277,0.3444,0.0257929
FD,BT316,0.0765004,-0.00292339,-0.00287478,0.0225076,-0.0771413,0.148534,0.0246679,-0.174542,0.438451,0.0339574
DD,BT321,0.0553976,0.00633142,0.0489036,-0.00103346,-0.0677546,-0.00861866,-0.017826,-0.0331462,-0.170742,0.375947
DD,BT322,0.0606971,0.00902715,0.033388,-0.00591994,-0.0358912,0.00465883,-0.0214592,-0.0519962,-0.134169,0.324257
DD,BT324,0.023758,0.00362492,0.0156064,0.0375047,-0.0278765,0.00707972,-0.0174871,-0.0145637,-0.0191419,0.0367545
DD,BT325,0.0671887,0.00564332,0.0475963,-0.00426651,-0.0622181,0.00205217,-0.0226592,-0.0559619,-0.191286,0.436021
DD,BT327,0.049221,0.0492623,0.0233866,0.00165556,-0.030842,0.0218626,0.027391,-0.121702,-0.134711,-0.0851789
FD,BT34,0.0465227,0.1249,-0.00770117,0.0120346,-0.258474,0.0141706,0.143355,0.130239,-0.00907349,-0.166814
FD,BT35,0.069264,0.085896,0.0112288,0.0519929,-0.247746,0.0561392,0.115315,0.0612688,-0.00803254,-0.0488949
FD,BT37,0.0810327,0.0192982,0.0339223,0.00520786,-0.0855776,0.0287299,0.0162975,-0.014969,-0.00752884,0.0398374
FD,BT39,0.071385,0.0165557,0.0280016,0.00545481,-0.0525244,0.0252267,-0.019768,-0.0188413,0.0276726,0.0557362
FD,BT41,0.0655645,0.0729338,0.0284726,0.0422146,-0.156954,0.0193604,0.0804456,0.00460067,-0.128982,-0.138355
