FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CD,BT159,-0.0472205,-0.0453535,0.0444729,-0.0236609,0.0314565,-0.0265151,0.157734,0.0874802,-0.108681,-0.266785
CD,BT160,-0.0920213,-0.312781,-0.278474,0.095437,0.0818528,-0.0240602,0.0465285,0.0651454,0.103186,0.125068
CD,BT161,-0.177692,0.260209,-0.227698,-0.103944,0.0851083,-0.0344439,0.0127251,0.00585262,0.00845904,0.0292123
CD,BT162,0.00489864,-0.000510581,0.0226947,-0.000364613,-0.0154304,0.0344648,0.0765496,0.00201545,-0.0722386,-0.0990392
CD,BT163,-0.102634,-0.0725928,0.0158506,0.122973,-0.109731,0.0230596,-0.195217,-0.0392996,-0.0812399,-0.00418396
CD,BT164,-0.0625849,-0.0594787,0.0483059,0.103605,-0.0810047,0.02572,-0.151441,-0.0103266,-0.0850682,-0.0328191
CD,BT167,-0.0921097,-0.310524,-0.271096,0.1074,0.0635997,-0.0205677,0.0448443,0.0655189,0.0909758,0.116669
CD,BT168,-0.0232794,-0.00957227,0.0305937,-0.0105734,0.0258072,-0.000279073,0.0104105,0.0214574,-0.0466891,-0.113371
CD,BT170,-0.0700859,-0.0894197,0.0130298,0.0635022,-0.0171489,-0.00175071,-0.135433,-0.13416,-0.0659163,0.0575019
CD,BT171,-0.084457,-0.0326594,0.0484545,0.0419109,0.114893,0.0124218,-0.0912683,-0.0025462,-0.0180929,0.0311301
CD,BT173,-0.0283818,-0.197522,-0.139979,-0.0579551,0.0906608,-0.0199959,0.268374,0.126767,0.0315786,-0.121613
CD,BT174,-0.134453,0.159246,-0.16087,-0.0835928,0.0834655,-0.0107926,0.0118639,0.00332101,-0.0022657,-0.0391966
CD,BT175,0.0496519,-0.0243038,0.0199641,-0.0303377,0.0132568,-0.00448186,-0.0555079,0.00138959,0.0303378,-0.106352
CD,BT176,-0.0817701,0.0385004,0.0910106,-0.00939263,0.114505,0.0133802,-0.0238372,0.0377078,-0.0182099,-0.0232576
CD,BT179,-0.0823372,-0.309254,-0.262594,0.0984866,0.0473587,-0.0259503,0.0502184,0.0526601,0.0867564,0.111111
CD,BT180,-0.0108362,-0.157299,-0.106021,-0.0431386,0.0737236,-0.00193463,0.247161,0.114634,0.0335085,-0.128213
CD,BT181,-0.0795265,-0.0305013,0.021171,0.0602628,-0.0453978,0.00884858,-0.165653,-0.182129,-0.112449,0.0218317
CD,BT182,-0.0627247,-0.0287324,0.0563707,0.0289679,-0.0469069,0.001352,0.171921,0.008556,-0.0799317,-0.198037
CD,BT184,-0.057496,-0.15261,-0.120142,0.019363,0.0329065,-0.0165148,0.0999316,0.0703773,0.0221805,-0.0878892
CD,BT185,-0.037648,0.03168,0.0238044,-0.0256275,0.075312,0.0134599,-0.0122855,0.00596377,-0.00161764,-0.034607
CD,BT186,-0.0515876,-0.0171893,0.0768291,0.0492503,-0.0492074,-0.0070254,0.106851,-0.0577157,-0.00707263,-0.0621386
CD,BT188,-0.10268,0.00890141,0.0881219,0.0231919,0.144881,0.0259273,-0.0793861,0.00267285,-0.0448621,0.019091
CD,BT189,-0.141735,0.229179,-0.166167,-0.0899136,0.0665565,-0.0205289,-0.0129616,-0.0348157,-0.0135812,0.0960099
CD,BT191,-0.0860473,-0.0839841,-0.0105706,0.0639449,-0.0318912,-0.00302115,-0.25179,-0.250636,-0.170682,0.0240511
