IID,FID,Taxon,Population,Longitude,Latitude,Sex,Heterozygosity
BT20,CG,atropygialis,Chillagoe,144.04,-16.69,male,0.003856243
BT21,CG,atropygialis,Chillagoe,144.04,-16.69,female,0.003893883
BT142,CR,atropygialis,Coralie,142.17,-18.27,female,0.003913647
BT08,DR,atropygialis,Durham Dam,143.48,-18.29,male,0.003732954
BT07,DR,atropygialis,Durham Dam,143.48,-18.29,female,0.003753459
BT09,DR,atropygialis,Durham Dam,143.48,-18.29,male,0.003757298
BT05,HB,atropygialis,Highbury,143.1,-16.4,female,0.003788846
BT01,HR,atropygialis,Holroyd River,142.64,-14.18,male,0.003368966
BT03,HR,atropygialis,Holroyd River,142.64,-14.18,male,0.003800281
BT04,HR,atropygialis,Holroyd River,142.64,-14.18,female,0.003848382
BT02,HR,atropygialis,Holroyd River,142.64,-14.18,female,0.003864867
BT18,IS,atropygialis,Inkerman Station,141.47,-16.2,male,0.003691139
BT19,IS,atropygialis,Inkerman Station,141.47,-16.2,male,0.003799966
BT15,KW,atropygialis,Kowanyama,141.7,-15.36,female,0.003795868
BT119,NP,atropygialis,Nifold Plains,143.97,-14.64,female,0.003738187
BT112,NP,atropygialis,Nifold Plains,143.97,-14.64,male,0.003784007
BT106,NP,atropygialis,Nifold Plains,143.97,-14.64,female,0.003786277
BT108,NP,atropygialis,Nifold Plains,143.97,-14.64,male,0.003817226
BT103,NP,atropygialis,Nifold Plains,143.97,-14.64,female,0.00381937
BT104,NP,atropygialis,Nifold Plains,143.97,-14.64,male,0.003831049
BT110,NP,atropygialis,Nifold Plains,143.97,-14.64,male,0.003832961
BT111,NP,atropygialis,Nifold Plains,143.97,-14.64,male,0.003839599
BT114,NP,atropygialis,Nifold Plains,143.97,-14.64,female,0.003847856
BT105,NP,atropygialis,Nifold Plains,143.97,-14.64,female,0.003849176
BT123,NP,atropygialis,Nifold Plains,143.97,-14.64,male,0.003849905
BT122,NP,atropygialis,Nifold Plains,143.97,-14.64,male,0.003869852
BT129,NP,atropygialis,Nifold Plains,143.97,-14.64,female,0.003881086
BT102,NP,atropygialis,Nifold Plains,143.97,-14.64,female,0.003888583
BT121,NP,atropygialis,Nifold Plains,143.97,-14.64,female,0.003910417
BT120,NP,atropygialis,Nifold Plains,143.97,-14.64,female,0.003952893
BT135,PP,atropygialis,Pormpuraaw,141.62,-14.91,male,0.003859164
BT80,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,male,0.0037503
BT70,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,female,0.003752176
BT44,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,male,0.003757103
BT88,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,male,0.003757656
BT57,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,female,0.003783122
BT81,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,male,0.003783674
BT84,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,female,0.003788605
BT55,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,male,0.00380251
BT85,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,female,0.003815199
BT69,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,male,0.003817723
BT49,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,male,0.003839987
BT93,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,male,0.003844569
BT47,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,female,0.003854464
BT86,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,female,0.003862863
BT361,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,female,0.003870965
BT61,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,female,0.003878489
BT51,RL,atropygialis,Red Lily Lagoon,144.16,-14.85,unknown,0.004149485
BT29,AD,cincta,Adani Dam,146.26,-21.92,male,0.003263591
BT206,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.003640299
BT198,CD,cincta,Clearwater Dam,146.71,-19.46,female,0.003657873
BT215,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.003661086
BT187,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.00368877
BT197,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.00369248
BT191,CD,cincta,Clearwater Dam,146.71,-19.46,female,0.003698993
BT213,CD,cincta,Clearwater Dam,146.71,-19.46,female,0.003700346
BT205,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.003711636
BT183,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.003714981
BT204,CD,cincta,Clearwater Dam,146.71,-19.46,female,0.003715734
BT185,CD,cincta,Clearwater Dam,146.71,-19.46,female,0.003719005
BT202,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.003728938
BT196,CD,cincta,Clearwater Dam,146.71,-19.46,female,0.003734376
BT199,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.00373548
BT214,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.003736994
BT186,CD,cincta,Clearwater Dam,146.71,-19.46,female,0.003739043
BT200,CD,cincta,Clearwater Dam,146.71,-19.46,female,0.003743022
BT182,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.003750483
BT189,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.003788783
BT190,CD,cincta,Clearwater Dam,146.71,-19.46,female,0.003796991
BT179,CD,cincta,Clearwater Dam,146.71,-19.46,unknown,0.00395293
BT180,CD,cincta,Clearwater Dam,146.71,-19.46,unknown,0.004022178
BT181,CD,cincta,Clearwater Dam,146.71,-19.46,male,0.004051614
BT221,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003606939
BT225,YD,cincta,Yellow Dam,146.66,-19.48,female,0.00361199
BT223,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003634114
BT229,YD,cincta,Yellow Dam,146.66,-19.48,female,0.00367955
BT222,YD,cincta,Yellow Dam,146.66,-19.48,male,0.003693881
BT235,YD,cincta,Yellow Dam,146.66,-19.48,male,0.003711675
BT237,YD,cincta,Yellow Dam,146.66,-19.48,male,0.003718635
BT228,YD,cincta,Yellow Dam,146.66,-19.48,male,0.003724363
BT227,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003730857
BT217,YD,cincta,Yellow Dam,146.66,-19.48,male,0.003732782
BT226,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003735864
BT224,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003741756
BT241,YD,cincta,Yellow Dam,146.66,-19.48,male,0.003748314
BT240,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003751446
BT238,YD,cincta,Yellow Dam,146.66,-19.48,male,0.003752264
BT233,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003761177
BT239,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003767999
BT236,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003791799
CH17,CH,hecki,Chidna,139.446,-19.387,male,0.004371155
CH16,CH,hecki,Chidna,139.446,-19.387,male,0.004381708
CH07,CH,hecki,Chidna,139.446,-19.387,male,0.004401378
CH06,CH,hecki,Chidna,139.446,-19.387,male,0.004419689
CH04,CH,hecki,Chidna,139.446,-19.387,male,0.004437575
CH20,CH,hecki,Chidna,139.446,-19.387,male,0.004437721
