FID,Taxon,Population,Longitude,Latitude,N,Mean.Het
HR,atropygialis,Holroyd River,142.640,-14.180,3,0.003838
NP,atropygialis,Nifold Plains,143.970,-14.640,16,0.003844
RL,atropygialis,Red Lily Lagoon,144.160,-14.850,16,0.003810
PP,atropygialis,Pormpuraaw,141.620,-14.910,1,0.003859
KW,atropygialis,Kowanyama,141.700,-15.360,1,0.003796
IS,atropygialis,Inkerman Station,141.470,-16.200,2,0.003746
HB,atropygialis,Highbury,143.100,-16.400,1,0.003789
CG,atropygialis,Chillagoe,144.040,-16.690,2,0.003875
CR,atropygialis,Coralie,142.170,-18.270,1,0.003914
DR,atropygialis,Durham Dam,143.480,-18.290,3,0.003748
CD,cincta,Clearwater Dam,146.710,-19.460,21,0.003734
YD,cincta,Yellow Dam,146.660,-19.480,18,0.003716
PR,hecki,Port Roper,134.364,-14.757,3,0.004434
LS,hecki,Lorella Springs,135.629,-15.624,3,0.004480
MY,hecki,Maryfield,133.402,-15.832,15,0.004503
MA,hecki,MacArthur River,135.869,-16.508,13,0.004424
OC,hecki,October Creek,134.86,-16.631,41,0.004559
CH,hecki,Chidna,139.446,-19.387,20,0.004471
LH,hecki,Leichardt,139.736,-20.263,14,0.004488
