IID,FID,Taxon,Population,Longitude,Latitude,Sites,Heterozygous,Heterozygosity
BT20,CG,atropygialis,Chillagoe,144.040,-16.690,53049,2334,0.0440
BT21,CG,atropygialis,Chillagoe,144.040,-16.690,53049,2206,0.0416
BT142,CR,atropygialis,Coralie,142.170,-18.270,53049,2154,0.0406
BT07,DR,atropygialis,Durham Dam,143.480,-18.290,53049,2280,0.0430
BT08,DR,atropygialis,Durham Dam,143.480,-18.290,53049,2359,0.0445
BT09,DR,atropygialis,Durham Dam,143.480,-18.290,53049,2195,0.0414
BT05,HB,atropygialis,Highbury,143.100,-16.400,53049,2231,0.0421
BT01,HR,atropygialis,Holroyd River,142.640,-14.180,53049,2256,0.0425
BT02,HR,atropygialis,Holroyd River,142.640,-14.180,53049,2253,0.0425
BT03,HR,atropygialis,Holroyd River,142.640,-14.180,53049,2284,0.0431
BT04,HR,atropygialis,Holroyd River,142.640,-14.180,53049,2234,0.0421
BT17,IS,atropygialis,Inkerman Station,141.470,-16.200,53049,2211,0.0417
BT18,IS,atropygialis,Inkerman Station,141.470,-16.200,53049,2165,0.0408
BT19,IS,atropygialis,Inkerman Station,141.470,-16.200,53049,2263,0.0427
BT10,KL,atropygialis,Kalpowar,144.180,-14.500,53049,2201,0.0415
BT11,KO,atropygialis,Kowanyama #1,141.680,-15.460,53049,2233,0.0421
BT12,KO,atropygialis,Kowanyama #1,141.680,-15.460,53049,2225,0.0419
BT13,KO,atropygialis,Kowanyama #3,141.720,-15.430,53049,2308,0.0435
BT14,KO,atropygialis,Kowanyama #2,141.700,-15.360,53049,2193,0.0413
BT15,KO,atropygialis,Kowanyama #2,141.700,-15.360,53049,2204,0.0415
BT16,KO,atropygialis,Kowanyama #2,141.700,-15.360,53049,2292,0.0432
BT144,ME,atropygialis,Mareeba,145.350,-16.930,53049,2337,0.0441
BT145,ME,atropygialis,Mareeba,145.350,-16.930,53049,2590,0.0488
BT146,ME,atropygialis,Mareeba,145.350,-16.930,53049,2138,0.0403
BT147,ME,atropygialis,Mareeba,145.350,-16.930,53049,2260,0.0426
BT148,ME,atropygialis,Mareeba,145.350,-16.930,53049,2219,0.0418
BT149,ME,atropygialis,Mareeba,145.350,-16.930,53049,2318,0.0437
BT150,ME,atropygialis,Mareeba,145.350,-16.930,53049,2344,0.0442
BT151,ME,atropygialis,Mareeba,145.350,-16.930,53049,2314,0.0436
BT152,ME,atropygialis,Mareeba,145.350,-16.930,53049,2300,0.0434
BT153,ME,atropygialis,Mareeba,145.350,-16.930,53049,2293,0.0432
BT154,ME,atropygialis,Mareeba,145.350,-16.930,53049,2127,0.0401
BT155,ME,atropygialis,Mareeba,145.350,-16.930,53049,2230,0.0420
BT157,ME,atropygialis,Mareeba,145.350,-16.930,53049,2404,0.0453
BT158,ME,atropygialis,Mareeba,145.350,-16.930,53049,2349,0.0443
BT136,MR,atropygialis,Mcilwraith Range,143.470,-13.860,53049,2306,0.0435
BT137,MR,atropygialis,Mcilwraith Range,143.470,-13.860,53049,2901,0.0547
BT101,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2245,0.0423
BT102,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2234,0.0421
BT103,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2223,0.0419
BT104,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2254,0.0425
BT105,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2315,0.0436
BT106,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2319,0.0437
BT108,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2236,0.0421
BT109,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2240,0.0422
BT110,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2382,0.0449
BT111,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2332,0.0440
BT112,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2259,0.0426
BT114,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2205,0.0416
BT116,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2296,0.0433
BT117,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2248,0.0424
BT120,NP,atropygialis,Nifold Plains,143.970,-14.640,53049,2206,0.0416
